_extracted_at,created_at,end,id,nap,score,score_respiratory_rate,score_sleep_consistency_percentage,score_sleep_efficiency_percentage,score_sleep_needed_baseline_milli,score_sleep_needed_need_from_recent_nap_milli,score_sleep_needed_need_from_recent_strain_milli,score_sleep_needed_need_from_sleep_debt_milli,score_sleep_performance_percentage,score_stage_summary_disturbance_count,score_stage_summary_sleep_cycle_count,score_stage_summary_total_awake_time_milli,score_stage_summary_total_in_bed_time_milli,score_stage_summary_total_light_sleep_time_milli,score_stage_summary_total_no_data_time_milli,score_stage_summary_total_rem_sleep_time_milli,score_stage_summary_total_slow_wave_sleep_time_milli,score_state,start,timezone_offset,updated_at,user_id
2025-07-30T21:10:55.186994+00:00,2025-07-30T10:22:34.174Z,2025-07-30T12:20:53.581Z,1880613334,False,,15.234375,85.0,82.230515,27194513,0,1347415,6091737,74.0,9,6,4836468,27217824,11505884,0,4175618,6699854,SCORED,2025-07-30T04:47:08.613Z,-07:00,2025-07-30T12:46:10.084Z,7039495
2025-07-30T21:10:55.186994+00:00,2025-07-29T09:54:30.878Z,2025-07-29T11:56:42.931Z,1877817527,False,,14.794922,76.0,89.26817,27194631,0,1983846,5748204,77.0,14,3,2734191,25477399,9766187,0,7510386,5466635,SCORED,2025-07-29T04:45:33.462Z,-07:00,2025-07-29T12:03:45.361Z,7039495
2025-07-30T21:10:55.186994+00:00,2025-07-28T12:40:15.810Z,2025-07-28T12:31:36.477Z,1875592298,False,,14.53125,73.0,88.753525,27194748,0,834007,5548305,80.0,10,6,3482659,28118069,15829889,0,3248101,5557420,SCORED,2025-07-28T04:41:31.037Z,-07:00,2025-07-28T12:40:21.743Z,7039495
2025-07-30T21:10:55.186994+00:00,2025-07-27T10:52:46.084Z,2025-07-27T14:20:53.464Z,1872673581,False,,14.990234,68.0,74.9324,27194866,0,1146116,4393394,64.0,11,8,7238615,28876381,9860383,0,5467415,6309968,SCORED,2025-07-27T06:07:14.803Z,-07:00,2025-07-27T14:26:42.821Z,7039495
2025-07-30T21:10:55.186994+00:00,2025-07-26T09:54:46.054Z,2025-07-26T13:26:00.933Z,1869999715,False,,14.765625,82.0,83.88011,27194984,0,1357662,5231581,79.0,11,8,4803950,29801390,13130357,0,6190616,5676467,SCORED,2025-07-26T05:07:05.109Z,-07:00,2025-07-26T13:36:20.368Z,7039495
2025-07-30T21:10:55.186994+00:00,2025-07-25T10:18:07.139Z,2025-07-25T12:19:15.989Z,1867551555,False,,15.234375,88.0,79.01291,27195102,0,914005,5186885,75.0,8,8,6064766,28897596,12557183,0,4658936,5616711,SCORED,2025-07-25T04:17:38.393Z,-07:00,2025-07-25T12:40:22.605Z,7039495
2025-07-30T21:10:55.186994+00:00,2025-07-24T10:44:09.739Z,2025-07-24T12:52:23.892Z,1865025120,False,,15.981445,86.0,86.36803,27195220,0,1755485,4798464,82.0,11,8,4053333,29734015,15465029,0,4267325,5948328,SCORED,2025-07-24T04:36:49.877Z,-07:00,2025-07-24T13:40:18.975Z,7039495
2025-07-30T21:10:55.186994+00:00,2025-07-23T10:19:49.751Z,2025-07-23T12:28:51.915Z,1862297577,False,,15.46875,86.0,90.14426,27195338,0,273325,4988294,86.0,15,5,2732524,27725204,14415995,0,6099632,4477053,SCORED,2025-07-23T04:46:46.711Z,-07:00,2025-07-23T12:40:20.898Z,7039495
2025-07-30T21:10:55.186994+00:00,2025-07-22T09:09:06.729Z,2025-07-22T12:30:11.291Z,1859432160,False,,16.171875,82.0,93.061615,27195456,0,1148986,4776301,84.0,10,6,1890850,27252024,14635159,0,5349776,5376239,SCORED,2025-07-22T04:55:59.267Z,-07:00,2025-07-22T12:40:28.796Z,7039495
2025-07-30T21:10:55.186994+00:00,2025-07-21T12:40:16.991Z,2025-07-21T12:19:19.394Z,1857306034,False,,15.966797,75.0,84.69336,27195574,0,956060,2675638,77.0,7,6,3844973,25119644,12591771,0,4417513,4265387,SCORED,2025-07-21T05:20:39.750Z,-07:00,2025-07-21T12:40:23.190Z,7039495
